name,is_potentially_hazardous_asteroid,estimated_diameter.kilometers.estimated_diameter_min,estimated_diameter.kilometers.estimated_diameter_max,orbital_data.semi_major_axis,orbital_data.eccentricity,orbital_data.inclination,orbital_data.orbital_period,orbital_data.orbit_class.orbit_class_type,miss_distance_km,velocity_kph
(2025 YL8),False,0.0468548958,0.1047707321,2.79409297076959,.6256279419200355,3.560038546660943,1705.924105396486,AMO,13127364.73986082,29074.8098976486
(2025 YM8),False,0.1050884476,0.2349849125,2.522802387616773,.574485079355749,7.135718182897315,1463.602952423045,AMO,,
(2025 YN8),False,0.2438680899,0.5453056265,1.853493845249256,.6049635421590167,23.04270480420551,921.6905807654989,APO,4539193.042594905,70898.6222506429
(2025 YO8),False,0.0768696629,0.1718857917,2.292480796188498,.4639100667396283,5.412731673704024,1267.818212920625,AMO,,
(2025 YP8),False,0.107536272,0.2404584143,2.40134290119179,.4952828851177387,5.130017364864831,1359.188516484529,AMO,,
(2025 YQ8),False,0.1230141235,0.2750679424,1.926206206686828,.3375663317233135,28.35816616065546,976.4558097871931,AMO,,
(2025 YR8),False,0.0800857001,0.1790770695,2.443724266497002,.651127060988314,5.698554454547748,1395.329348614263,APO,22699157.646480113,41199.9892359642
(2025 YS8),False,0.0680072129,0.1520687509,2.464054406311798,.6371493905625463,5.003379954096668,1412.777813648056,APO,14151901.20601579,38518.9525133212
(2025 YT8),False,0.0584191154,0.1306291133,1.088549409592882,.2393832408643765,23.8885648598671,414.8304682758213,APO,25730126.40110979,53017.0368201709
(2025 YU8),False,0.083014695,0.1856265011,1.375579459390875,.1410938565736508,19.42250568353895,589.2871217155302,AMO,,
(2025 YV8),False,0.1416951472,0.3168399811,2.221176958102759,.5498770047406939,6.759369132148531,1209.130472027546,APO,,
(2025 YW8),False,0.0771178613,0.1724407801,1.277070435096971,.5169757257981846,24.12000062330318,527.1336044949542,APO,15820195.184961446,69881.2914194449
(2025 YX8),False,0.0356578355,0.079733344,2.392231265183862,.5272835754971498,2.698677177783449,1351.45991862195,AMO,27235792.10174462,20553.273457014
(2025 YY8),False,0.027948273,0.0624942383,1.709359049529381,.4205395203928436,3.318307097204866,816.2973190353291,APO,4732355.742151428,23727.20532036
(2025 YZ8),False,0.0385971268,0.0863057993,1.129249621109897,.2977124339131809,5.667392256840504,438.3119962868573,APO,10476196.86772137,14184.7157889114
(2025 YB9),False,0.0787689355,0.1761326944,1.780429313742014,.5063069755408629,6.678752102859473,867.7318350404523,APO,23584289.3627837,33555.6013239152
(2025 YF9),False,0.01879122,0.0420184453,1.190967768270462,.4125190662444539,41.25150912954867,474.7319257775923,APO,9935584.588011257,91622.2954554277
(2025 YG9),False,0.0062886146,0.0140617696,2.356276771730224,.5854459126183136,3.172808082874299,1321.106653597587,APO,260289325.41880968,15662.6508294784
(2025 YH9),False,0.0137137105,0.0306647889,1.19516031292825,.4110982910337361,1.2480289444452,477.2409173664979,APO,3821129.280429279,47337.0009260483
(2025 YJ9),False,0.0079132516,0.0176945686,1.27144077166101,.5102149469299428,2.674035739470088,523.6518326796166,APO,13961194.918444455,36200.7125021347
(2025 YK9),False,0.4344651807,0.971493678,3.061999356981704,.7081925419873304,15.02481501796032,1957.068692886178,APO,53586583.534919776,28884.6718510159
(2025 YM9),False,0.0048747795,0.0109003383,1.290771293455535,.2736311196235401,6.748393145521822,535.639226441698,APO,11173158.892897127,30930.6652954189
(2025 YP9),False,0.0897335763,0.2006503764,2.207744449268808,.5999393373922063,26.8657323671827,1198.178794605248,APO,15774714.605081702,65952.6985265663
(2025 YQ9),False,0.0421070656,0.0941542609,.9827640575200802,.1450273087356975,21.22649163384947,355.8543867775925,ATE,19435749.78015817,40177.8690593792
(2025 YS9),False,0.0152389476,0.0340753228,.9680379479201969,.2933417196462638,13.97274880540254,347.8860389729867,ATE,8789038.11865553,39930.2140372402
(2025 YC10),False,0.1426116408,0.3188893232,2.572061820116713,.5849575782907183,6.481370229921322,1506.678291756065,AMO,21501777.880737536,24592.9828169922
(2025 YJ10),False,0.0197403558,0.0441407775,1.376942233438718,.2129058396455526,3.819143125130756,590.163040647622,AMO,15409729.880676487,8598.8643384232
(2025 YV10),True,0.1499529371,0.3353049608,1.720993083397947,.6940961628535277,14.77031535247224,824.6451597849947,APO,15107759.98281542,97565.6517027671
